car_type,export_production,date,month_number,year,value,diff_to_avg
Passenger cars,Production,39448,1,2008,475197,1.161411659
Passenger cars,Production,39479,2,2008,531397,1.109590872
Passenger cars,Production,39508,3,2008,492336,0.944015155
Passenger cars,Production,39539,4,2008,579869,1.202169785
Passenger cars,Production,39569,5,2008,444537,0.962328359
Passenger cars,Production,39600,6,2008,516609,1.044203485
Passenger cars,Production,39630,7,2008,434801,0.958094832
Passenger cars,Production,39661,8,2008,340288,0.963721423
Passenger cars,Production,39692,9,2008,535893,1.016597412
Passenger cars,Production,39722,10,2008,448565,0.928686136
Passenger cars,Production,39753,11,2008,452590,0.885252186
Passenger cars,Production,39783,12,2008,279948,0.78353524
Passenger cars,Production,39814,1,2009,310113,0.757935874
Passenger cars,Production,39845,2,2009,297921,0.622078074
Passenger cars,Production,39873,3,2009,435693,0.835406704
Passenger cars,Production,39904,4,2009,373308,0.77393273
Passenger cars,Production,39934,5,2009,427239,0.924881857
Passenger cars,Production,39965,6,2009,478133,0.966433308
Passenger cars,Production,39995,7,2009,410321,0.904152543
Passenger cars,Production,40026,8,2009,325060,0.920594572
Passenger cars,Production,40057,9,2009,553205,1.049438547
Passenger cars,Production,40087,10,2009,508450,1.052668991
Passenger cars,Production,40118,11,2009,493851,0.965957439
Passenger cars,Production,40148,12,2009,351229,0.983040775
Passenger cars,Production,40179,1,2010,376937,0.921257976
Passenger cars,Production,40210,2,2010,450355,0.94037
Passenger cars,Production,40238,3,2010,560055,1.073860956
Passenger cars,Production,40269,4,2010,464591,0.963178343
Passenger cars,Production,40299,5,2010,470130,1.017731778
Passenger cars,Production,40330,6,2010,528820,1.068885147
Passenger cars,Production,40360,7,2010,392553,0.865000312
Passenger cars,Production,40391,8,2010,335748,0.950863799
Passenger cars,Production,40422,9,2010,536468,1.017688196
Passenger cars,Production,40452,10,2010,502507,1.040364906
Passenger cars,Production,40483,11,2010,519765,1.01664443
Passenger cars,Production,40513,12,2010,414480,1.160071464
Passenger cars,Production,40544,1,2011,398078,0.972927923
Passenger cars,Production,40575,2,2011,519342,1.084419262
Passenger cars,Production,40603,3,2011,583399,1.118621221
Passenger cars,Production,40634,4,2011,470463,0.975352025
Passenger cars,Production,40664,5,2011,563015,1.218808111
Passenger cars,Production,40695,6,2011,456548,0.922804311
Passenger cars,Production,40725,7,2011,462005,1.018039524
Passenger cars,Production,40756,8,2011,396706,1.123501478
Passenger cars,Production,40787,9,2011,562504,1.067078895
Passenger cars,Production,40817,10,2011,502897,1.041172342
Passenger cars,Production,40848,11,2011,546272,1.068491311
Passenger cars,Production,40878,12,2011,410689,1.149460986
Passenger cars,Production,40909,1,2012,443510,1.083966617
Passenger cars,Production,40940,2,2012,508798,1.062402717
Passenger cars,Production,40969,3,2012,546169,1.047235655
Passenger cars,Production,41000,4,2012,426321,0.883837944
Passenger cars,Production,41030,5,2012,448045,0.969922436
Passenger cars,Production,41061,6,2012,463839,0.937541352
Passenger cars,Production,41091,7,2012,460830,1.015450382
Passenger cars,Production,41122,8,2012,363254,1.028762877
Passenger cars,Production,41153,9,2012,450072,0.853793631
Passenger cars,Production,41183,10,2012,454716,0.941420853
Passenger cars,Production,41214,11,2012,482406,0.94357137
Passenger cars,Production,41244,12,2012,340499,0.953009008
Passenger cars,Production,41275,1,2013,397634,0.971842759
Passenger cars,Production,41306,2,2013,459180,0.958797164
Passenger cars,Production,41334,3,2013,474467,0.909752768
Passenger cars,Production,41365,4,2013,502411,1.041585813
Passenger cars,Production,41395,5,2013,428684,0.928009975
Passenger cars,Production,41426,6,2013,475779,0.961675251
Passenger cars,Production,41456,7,2013,444960,0.980480442
Passenger cars,Production,41487,8,2013,394991,1.118644468
Passenger cars,Production,41518,9,2013,514468,0.975953851
Passenger cars,Production,41548,10,2013,456669,0.945464245
Passenger cars,Production,41579,11,2013,537383,1.051104699
Passenger cars,Production,41609,12,2013,353278,0.988775639
Passenger cars,Production,41640,1,2014,442430,1.081327029
Passenger cars,Production,41671,2,2014,513041,1.071262371
Passenger cars,Production,41699,3,2014,522428,1.001714174
Passenger cars,Production,41730,4,2014,494416,1.025010781
Passenger cars,Production,41760,5,2014,482483,1.044473404
Passenger cars,Production,41791,6,2014,456069,0.921836126
Passenger cars,Production,41821,7,2014,535001,1.178888028
Passenger cars,Production,41852,8,2014,272744,0.772431693
Passenger cars,Production,41883,9,2014,524072,0.994172789
Passenger cars,Production,41913,10,2014,478999,0.99169514
Passenger cars,Production,41944,11,2014,515340,1.007989266
Passenger cars,Production,41974,12,2014,367003,1.027189991
Passenger cars,Production,42005,1,2015,421510,1.03019722
Passenger cars,Production,42036,2,2015,501118,1.046366386
Passenger cars,Production,42064,3,2015,556049,1.06617977
Passenger cars,Production,42095,4,2015,479631,0.994358891
Passenger cars,Production,42125,5,2015,447925,0.969662661
Passenger cars,Production,42156,6,2015,513315,1.037545439
Passenger cars,Production,42186,7,2015,533264,1.175060505
Passenger cars,Production,42217,8,2015,338834,0.959603585
Passenger cars,Production,42248,9,2015,538149,1.020877079
Passenger cars,Production,42278,10,2015,529856,1.096986883
Passenger cars,Production,42309,11,2015,518512,1.014193601
